unique_id,pdp_url,competitor_name
00-890115,https://shop.billa.at/produkte/simply-good-venezia-salat-00890115,Billa
00-890116,https://shop.billa.at/produkte/simply-good-vogerl-salat-00890116,Billa
00-891266,https://shop.billa.at/produkte/die-grillerei-barbecue-salat-mix-00891266,Billa
00-318080,https://shop.billa.at/produkte/da-komm-ich-her-petersilie-00318080,Billa
00-89709,https://shop.billa.at/produkte/ja-natuerlich-kresse-0089709,Billa
00-953164,https://shop.billa.at/produkte/da-komm-ich-her-schnittlauch-00953164,Billa
00-414059,https://shop.billa.at/produkte/ja-natuerlich-kraeutertopf-basilikum-00414059,Billa
00-755984,https://shop.billa.at/produkte/billa-koriander-00755984,Billa
00-432843,https://shop.billa.at/produkte/ja-natuerlich-petersilie-im-topf-00432843,Billa
00-432827,https://shop.billa.at/produkte/ja-natuerlich-bio-schnittlauch-im-topf-00432827,Billa
00-961723,https://shop.billa.at/produkte/da-komm-ich-her-dille-00961723,Billa
00-502292,https://shop.billa.at/produkte/ja-natuerlich-bio-minze-im-topf-00502292,Billa
00-755980,https://shop.billa.at/produkte/billa-basilikum-00755980,Billa
00-755987,https://shop.billa.at/produkte/billa-rosmarin-00755987,Billa
00-755990,https://shop.billa.at/produkte/billa-thymian-00755990,Billa
00-755988,https://shop.billa.at/produkte/billa-salbei-00755988,Billa
00-755986,https://shop.billa.at/produkte/billa-liebstoeckel-00755986,Billa
00-755989,https://shop.billa.at/produkte/billa-oregano-00755989,Billa
00-755991,https://shop.billa.at/produkte/billa-pfefferminze-00755991,Billa
00-301221,https://shop.billa.at/produkte/petersilie-bund-glatt-00301221,Billa
00-410116,https://shop.billa.at/produkte/ja-natuerlich-champignon-00410116,Billa
00-411185,https://shop.billa.at/produkte/ja-natuerlich-kraeuterseitlinge-00411185,Billa
00-565920,https://shop.billa.at/produkte/erzberg-bio-kraeuterseitlinge-00565920,Billa
00-410667,https://shop.billa.at/produkte/ja-natuerlich-bio-austernpilze-00410667,Billa
00-88020,https://shop.billa.at/produkte/ja-natuerlich-erdnuesse-0088020,Billa
00-89501,https://shop.billa.at/produkte/ja-natuerlich-medjoul-datteln-0089501,Billa
00-483128,https://shop.billa.at/produkte/billa-bio-walnusskerne-00483128,Billa
00-336636,https://shop.billa.at/produkte/billa-pinienkerne-00336636,Billa
00-664915,https://shop.billa.at/produkte/ja-natuerlich-marillen-00664915,Billa
00-506702,https://shop.billa.at/produkte/billa-bio-rosinen-00506702,Billa
00-492004,https://shop.billa.at/produkte/billa-bio-haselnusskerne-ganz-00492004,Billa
00-356524,https://shop.billa.at/produkte/billa-mango-getrocknet-00356524,Billa
00-418036,https://shop.billa.at/produkte/seeberger-walnusskerne-extra-00418036,Billa
00-317495,https://shop.billa.at/produkte/alnatura-feigen-00317495,Billa
00-497795,https://shop.billa.at/produkte/clever-datteln-00497795,Billa
00-317489,https://shop.billa.at/produkte/alnatura-apfel-chips-00317489,Billa
00-446246,https://shop.billa.at/produkte/ja-natuerlich-kuerbiskerne-natur-geroestet-und-gesalzen-00446246,Billa
00-889818,https://shop.billa.at/produkte/billa-trockenpflaumen-00889818,Billa
00-397238,https://shop.billa.at/produkte/billa-sonnenblumenkerne-00397238,Billa
00-436514,https://shop.billa.at/produkte/ja-natuerlich-bio-sultaninen-00436514,Billa
00-348371,https://shop.billa.at/produkte/lorenz-studentenfutter-original-00348371,Billa
00-634152,https://shop.billa.at/produkte/ja-natuerlich-mangos-00634152,Billa
00-356525,https://shop.billa.at/produkte/billa-ananas-getrocknet-00356525,Billa
00-447511,https://shop.billa.at/produkte/ja-natuerlich-bio-feigen-getrocknet-00447511,Billa
00-89487,https://shop.billa.at/produkte/walnuesse-0089487,Billa
00-348959,https://shop.billa.at/produkte/lorenz-studentenfutter-spezial-00348959,Billa
00-348938,https://shop.billa.at/produkte/lorenz-studentenfutter-extra-00348938,Billa
00-940498,https://shop.billa.at/produkte/ja-natuerlich-cranberries-00940498,Billa
00-317500,https://shop.billa.at/produkte/alnatura-bananen-chips-00317500,Billa
00-923796,https://shop.billa.at/produkte/ja-natuerlich-datteln-mit-stein-00923796,Billa
00-317719,https://shop.billa.at/produkte/alnatura-salatkerne-mix-00317719,Billa
00-89499,https://shop.billa.at/produkte/sanlucar-erdnuesse-0089499,Billa
00-504060,https://shop.billa.at/produkte/pesendorfer-cranberry-00504060,Billa
00-406831,https://shop.billa.at/produkte/sanlucar-datteln-00406831,Billa
00-299678,https://shop.billa.at/produkte/landgarten-bio-knabbermix-original-00299678,Billa
00-503457,https://shop.billa.at/produkte/pesendorfer-pecan-nusskerne-00503457,Billa
00-317491,https://shop.billa.at/produkte/alnatura-mango-stuecke-00317491,Billa
00-774966,https://shop.billa.at/produkte/alnatura-kokos-chips-geroestet-00774966,Billa
00-497803,https://shop.billa.at/produkte/clever-feigen-00497803,Billa
00-437696,https://shop.billa.at/produkte/seeberger-pflaumen-entsteint-00437696,Billa
00-821772,https://shop.billa.at/produkte/seeberger-nusskernmischung-00821772,Billa
00-406642,https://shop.billa.at/produkte/pesendorfer-marille-getrocknet-00406642,Billa
00-352569,https://shop.billa.at/produkte/pesendorfer-erdbeer-chips-00352569,Billa
00-841090,https://shop.billa.at/produkte/pesendorfer-cranberries-in-schokolade-00841090,Billa
00-323646,https://shop.billa.at/produkte/kotanyi-apfelzimt-chips-00323646,Billa
00-577742,https://shop.billa.at/produkte/landgarten-bio-veggie-mix-00577742,Billa
00-244089,https://shop.billa.at/produkte/fink-apfelchips-90g-00244089,Billa
00-502027,https://shop.billa.at/produkte/pesendorfer-saurer-apfel-00502027,Billa
00-387511,https://shop.billa.at/produkte/kotanyi-apfel-chips-00387511,Billa
00-418042,https://shop.billa.at/produkte/seeberger-soft-pflaumen-00418042,Billa
00-504230,https://shop.billa.at/produkte/pesendorfer-cashew-caramel-00504230,Billa
00-503460,https://shop.billa.at/produkte/pesendorfer-para-supernuss-00503460,Billa
00-651936,https://shop.billa.at/produkte/seeberger-mango-getrocknet-00651936,Billa
00-433762,https://shop.billa.at/produkte/seeberger-cranberries-00433762,Billa
00-641749,https://shop.billa.at/produkte/pesendorfer-feigen-getrocknet-00641749,Billa
00-406385,https://shop.billa.at/produkte/pesendorfer-plaumen-getrocknet-00406385,Billa
00-352570,https://shop.billa.at/produkte/pesendorfer-himbeeren-ganze-frucht-00352570,Billa
00-445078,https://shop.billa.at/produkte/pesendorfer-mango-spezial-00445078,Billa
00-693186,https://shop.billa.at/produkte/seeberger-beeren-nuss-mix-00693186,Billa
00-757994,https://shop.billa.at/produkte/billa-bio-mangoscheiben-00757994,Billa
00-777583,https://shop.billa.at/produkte/billa-bio-pflaumen-00777583,Billa
00-876548,https://shop.billa.at/produkte/billa-bio-gojibeeren-00876548,Billa
