Breadcrumbs,Product Name,Selling Price,Regular Price,Discount Percentage,Color,Sizes Available,Product URL,data_source_url
Women › New Arrivals,Serenity Sculpted Seamless Bodysuit - Cream,$11.99,$19.99,40% OFF,Cream,"S/M, M/L, 1X/2X, 2X/3X",https://www.fashionnova.com/products/serenity-sculpted-seamless-bodysuit-fncolorname-cream,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Natalia Striped Maxi Dress - Kelly Green,$17.99,$29.99,40% OFF,Kelly Green,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/natalia-striped-maxi-dress-fncolorname-kelly-green,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women › New Arrivals,Second Skin Double Lined Lace Trim Cami Top - Black,$11.99,$19.99,40% OFF,Black,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/second-skin-double-lined-lace-trim-cami-top-fncolorname-black,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Mila Stretch Capri Denim Jeans - Vintage Wash,$14.99,$24.99,40% Off,"Dark Wash, Vintage Wash","1, 3, 5, 7, 9, 11, 13",https://www.fashionnova.com/products/mila-stretch-capri-denim-jeans-fncolorname-vintage-wash,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Devon Ruched Drawstring Mock Neck Top - ButterYellow,$13.49,$22.99,40% Off,ButterYellow,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/devon-ruched-drawstring-mock-neck-top-fncolorname-butteryellow,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Mickey Mouse And Pluto Drop Shoulder Tee - White,$11.99,$19.99,40% Off,White,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/mickey-mouse-and-pluto-drop-shoulder-tee-fncolorname-white,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Amelia Striped Maxi Dress - Brown/combo,$20.99,$34.99,40% Off,Brown/combo,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/amelia-striped-maxi-dress-fncolorname-brown-combo,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Day Out Smocked Gingham Chiffon Top - Black/White,$16.49,$27.99,40% Off,Black/White,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/day-out-smocked-gingham-chiffon-top-fncolorname-black-white,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Feeling Fine Sunglasses - Black,$5.99,$9.99,40% Off,Black,,https://www.fashionnova.com/products/feeling-fine-sunglasses-fncolorname-black,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Baddie Asymmetrical Maxi Dress - Off White,$23.99,$39.99,40% Off,Off White,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/baddie-asymmetrical-maxi-dress-fncolorname-off-white,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Drinks On Me 2pc Tankini - Brown/combo,$15.99,$26.99,40% Off,Brown/combo,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/drinks-on-me-2pc-tankini-fncolorname-brown-combo,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Second Skin Double Lined Lace Trim Cami Maxi Dress - Black,$26.99,$44.99,40% Off,Black,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/second-skin-double-lined-lace-trim-cami-maxi-dress-fncolorname-black,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Libby Fleece Sweat Short - Heather Grey,$8.00,$14.99,DEALS,Heather Grey,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/libby-fleece-sweat-short-fncolorname-heather-grey,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
Women New Arrivals,Feel The Breeze Crochet Short Set - Navy,$23.99,$39.99,40% Off,Navy,"XS, S, M, L, XL, 1X, 2X, 3X",https://www.fashionnova.com/products/feel-the-breeze-crochet-short-set-navy,https://www.fashionnova.com/collections/new?page=1&utm_source=chatgpt.com
