product_name,website,product_url
Spargeln grün,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11803/s/spargeln-gruen-0082302/category/64/
Spargelspitzen grün,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11802/s/spargelspitzen-gruen-0082299/category/64/
Schweizer Radieschen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11801/s/schweizer-radieschen-0082275/category/64/
Schweizer Stangenlauch,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11798/s/schweizer-stangenlauch-0082255/category/64/
Schweizer Gurke Nostrano,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11795/s/schweizer-gurke-nostrano-0082225/category/64/
Buschbohnen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11792/s/buschbohnen-0082212/category/64/
Schweizer Bio Zwiebeln,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11791/s/schweizer-bio-zwiebeln-0084665/category/64/
Schweizer Bio Kartoffeln,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11788/s/schweizer-bio-kartoffeln-0084660/category/64/
Schweizer Zwiebeln,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11786/s/schweizer-zwiebeln-0083333/category/64/
Schweizer Zwiebeln gelb,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11785/s/schweizer-zwiebeln-gelb-0083325/category/64/
Baked Potatoes,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11784/s/baked-potatoes-0083318/category/64/
Schweizer Frühkartoffeln,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11778/s/schweizer-fruehkartoffeln-0083142/category/64/
Schweizer Gartenkräuter,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11774/s/schweizer-gartenkraeuter-0083090/category/64/
Champignons weiss,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11766/s/champignons-weiss-0083017/category/64/
Schweizer Champignons,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11765/s/schweizer-champignons-0083015/category/64/
Schweizer Champignons,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11763/s/schweizer-champignons-0083006/category/64/
Zuckermais gekocht,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11762/s/zuckermais-gekocht-0082864/category/64/
Schweizer Bio Randen,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11759/s/schweizer-bio-randen-0084634/category/64/
Schweizer Bio Rüebli,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11755/s/schweizer-bio-rueebli-0084611/category/64/
Schweizer Bio Fenchel,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11754/s/schweizer-bio-fenchel-0084605/category/64/
Zuckermais,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11747/s/zuckermais-0082860/category/64/
Schweizer Stangensellerie,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11746/s/schweizer-stangensellerie-0082845/category/64/
Schweizer Rettich,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11742/s/schweizer-rettich-0082811/category/64/
Schweizer Knollensellerie,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11738/s/schweizer-knollensellerie-0082720/category/64/
Knoblauch,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11737/s/knoblauch-0082711/category/64/
Bio Peperoni Mix,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11731/s/bio-peperoni-mix-0084587/category/64/
Peperoncini Mix,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11729/s/peperoncini-mix-0082660/category/64/
Spitzpeperoni rot,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11728/s/spitzpeperoni-rot-0082637/category/64/
Peperoni Mix,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11723/s/peperoni-mix-0082586/category/64/
Spitzpeperoni gelb,lidl.ch,https://sortiment.lidl.ch/de/catalog/product/view/id/11721/s/spitzpeperoni-gelb-0082541/category/64/
