product_name,pdp_url
"Senčilo za veke Puzzle Party Matte 040, 1,5 g",https://www.dm.si/p/d/3112651/trend-t-up-sencilo-za-veke-puzzle-party-matte-040
"Senčilo za veke Wonder Match, 02 Neutral Nude, 3 g",https://www.dm.si/p/d/2977873/eveline-cosmetics-sencilo-za-veke-wonder-match-02-neutral-nude
"Kremno senčilo za oči v stiku Cinderella, 1,8 g",https://www.dm.si/p/d/3050133/indy-beauty-kremno-sencilo-za-oci-v-stiku-cinderella
"Senčilo za veke Glam Addiction, 080, 2,5 g",https://www.dm.si/p/d/3069941/trend-t-up-sencilo-za-veke-glam-addiction-080
"Tekoče senčilo za veke Ultimate Glow Shots, 05 Highkey Lychee, 7,5 ml",https://www.dm.si/p/d/1672869/nyx-professional-makeup-tekoce-sencilo-za-veke-ultimate-glow-shots-05-highkey-lychee
"Tekoče senčilo za veke Ultimate Glow Shots, 06 Golden Goji, 7,5 ml",https://www.dm.si/p/d/1672271/nyx-professional-makeup-tekoce-sencilo-za-veke-ultimate-glow-shots-06-golden-goji
"Paleta senčil za veke Miss Claus Party Girls, Pop Bubbly, 3,7 g",https://www.dm.si/p/d/1889482/bh-cosmetics-paleta-sencil-za-veke-miss-claus-party-girls-pop-bubbly
"Senčilo za oči Puzzle Party Matte 030, 1,5 g",https://www.dm.si/p/d/3112650/trend-t-up-sencilo-za-oci-puzzle-party-matte-030
"Paleta senčil za veke Miss Claus Party Girls, Sugarplum Princess, 3,7 g",https://www.dm.si/p/d/1889487/bh-cosmetics-paleta-sencil-za-veke-miss-claus-party-girls-sugarplum-princess
"Paleta senčil za veke Miss Claus Party Girls, Mistletoe Mischief, 3,7 g",https://www.dm.si/p/d/1889481/bh-cosmetics-paleta-sencil-za-veke-miss-claus-party-girls-mistletoe-mischief
"Kremno senčilo za oči v stiku Ashy, 1,8 g",https://www.dm.si/p/d/3050144/indy-beauty-kremno-sencilo-za-oci-v-stiku-ashy
"Tekoče senčilo za veke Ultimate Glow Shots, 09 Mango Moment, 7,5 ml",https://www.dm.si/p/d/1672871/nyx-professional-makeup-tekoce-sencilo-za-veke-ultimate-glow-shots-09-mango-moment
"Paleta za oči in lica 2v1 Spring And The City Glow Complex, C01 Rosé & Rooftops, 6,4 g",https://www.dm.si/p/d/3123309/catrice-paleta-za-oci-in-lica-2v1-spring-and-the-city-glow-complex-c01-rose-rooftops
"Senčilo za veke Puzzle Party Matte 020, 1,5 g",https://www.dm.si/p/d/3112649/trend-t-up-sencilo-za-veke-puzzle-party-matte-020
"Senčilo za veke Puzzle Party Metallic 060, 1,7 g",https://www.dm.si/p/d/3112659/trend-t-up-sencilo-za-veke-puzzle-party-metallic-060
"Senčilo za veke in lica Luminous Touch - 020, 4,6 g",https://www.dm.si/p/d/3112643/trend-t-up-sencilo-za-veke-in-lica-luminous-touch-020
"Senčilo za veke Puzzle Party Matte 050, 1,5 g",https://www.dm.si/p/d/3112652/trend-t-up-sencilo-za-veke-puzzle-party-matte-050
"Senčilo za oči Puzzle Party Matte 010, 1,5 g",https://www.dm.si/p/d/3112648/trend-t-up-sencilo-za-oci-puzzle-party-matte-010
"Senčilo za veke Wonder Match, 03 Warm Nude, 3 g",https://www.dm.si/p/d/2977914/eveline-cosmetics-sencilo-za-veke-wonder-match-03-warm-nude
"Tekoče senčilo za veke Ultimate Glow Shots, 04 Grapefruit Glow, 7,5 ml",https://www.dm.si/p/d/1672270/nyx-professional-makeup-tekoce-sencilo-za-veke-ultimate-glow-shots-04-grapefruit-glow
"Tekoče senčilo za veke Vamp! – 12 Anthracite, 4 ml",https://www.dm.si/p/d/2291085/pupa-tekoce-sencilo-za-veke-vamp-12-anthracite
"Tekoče senčilo za veke Vamp! – 03 Smokey Lilac, 4 ml",https://www.dm.si/p/d/2283120/pupa-tekoce-sencilo-za-veke-vamp-03-smokey-lilac
"Paleta senčil za veke Glamour, 01 Gold Glamour, 6,8 g",https://www.dm.si/p/d/3050466/bourjois-paris-paleta-sencil-za-veke-glamour-01-gold-glamour
"Paleta senčil za veke Make up stories palette 003 Matt Attitude, 13,3 g",https://www.dm.si/p/d/2286125/pupa-paleta-sencil-za-veke-make-up-stories-palette-003-matt-attitude
"Paleta senčil za veke The Dusty Matte, 9 g",https://www.dm.si/p/d/1671444/catrice-paleta-sencil-za-veke-the-dusty-matte
"Paleta senčil za veke Vamp! 003 Pinkish Bronze, 10 g",https://www.dm.si/p/d/2275188/pupa-paleta-sencil-za-veke-vamp-003-pinkish-bronze
"Paleta senčil za veke Glamour, 03 Cherry Glamour, 6,8 g",https://www.dm.si/p/d/3061150/bourjois-paris-paleta-sencil-za-veke-glamour-03-cherry-glamour
"Tekoče senčilo za veke Vamp! – 07 Hazel, 4 ml",https://www.dm.si/p/d/2283124/pupa-tekoce-sencilo-za-veke-vamp-07-hazel
"Tekoče senčilo za veke Vamp! – 04 Rose, 4 ml",https://www.dm.si/p/d/2283121/pupa-tekoce-sencilo-za-veke-vamp-04-rose
"Paleta senčil za veke Glamour, 02 Rose Glamour, 6,8 g",https://www.dm.si/p/d/3050677/bourjois-paris-paleta-sencil-za-veke-glamour-02-rose-glamour
"Tekoče senčilo za veke Vamp! – 05 Champagne, 4 ml",https://www.dm.si/p/d/2283122/pupa-tekoce-sencilo-za-veke-vamp-05-champagne
"Paleta senčil The Little Mermaid, 8,8 g",https://www.dm.si/p/d/3122322/essence-paleta-sencil-the-little-mermaid
"Črtalo za ustnice MY CORE ESSENTIALS Ultra Power Lip Stain, C02 Core Power, 3 ml",https://www.dm.si/p/d/3133291/catrice-crtalo-za-ustnice-my-core-essentials-ultra-power-lip-stain-c02-core-power
"Večnamenski stik MY CORE ESSENTIALS Blushed & Beautiful, C01 Peak Pose, 7,8 g",https://www.dm.si/p/d/3133285/catrice-vecnamenski-stik-my-core-essentials-blushed-beautiful-c01-peak-pose
"Tekoče senčilo za oči The Little Mermaid, 3,6 ml",https://www.dm.si/p/d/3122319/essence-tekoce-sencilo-za-oci-the-little-mermaid
"Tekoče senčilo za veke Vamp! – 11 Mocha, 4 ml",https://www.dm.si/p/d/2283126/pupa-tekoce-sencilo-za-veke-vamp-11-mocha
"Tekoče senčilo za veke Vamp! – 08 Copper, 4 ml",https://www.dm.si/p/d/2283125/pupa-tekoce-sencilo-za-veke-vamp-08-copper
"Večnamenski stik MY CORE ESSENTIALS Blushed & Beautiful, C02 Peak Power, 7,8 g",https://www.dm.si/p/d/3133286/catrice-vecnamenski-stik-my-core-essentials-blushed-beautiful-c02-peak-power
"Paleta senčil za veke Vamp! 001 Natural, 10 g",https://www.dm.si/p/d/2275187/pupa-paleta-sencil-za-veke-vamp-001-natural
"Paleta za oči in lica 2v1 Spring And The City Glow Complex, C02 Cherry Glow & Skyline Views, 6,4 g",https://www.dm.si/p/d/3123310/catrice-paleta-za-oci-in-lica-2v1-spring-and-the-city-glow-complex-c02-cherry-glow-skyline-views
"Holo Glam krema Sunset Stage 030, 3 g",https://www.dm.si/p/d/3136055/trend-t-up-holo-glam-krema-sunset-stage-030
"Holo Glam krema Sunset Stage 020, 3 g",https://www.dm.si/p/d/3136069/trend-t-up-holo-glam-krema-sunset-stage-020
"Holo Glam krema Sunset Stage 010, 3 g",https://www.dm.si/p/d/3136001/trend-t-up-holo-glam-krema-sunset-stage-010
