unique_id,competitor_name,product_name,brand_name,selling_price,currency,image_1,image_2,image_3,rating,pdp_url
4059729541840,dm,"Kremno senčilo za veke, 03 Oyster, 5 g",essence,3.70,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1755120228/assets/pas/images/0d2ed523-fced-444a-ae0a-f570fb676ad9/essence-kremno-sencilo-za-veke-03-oyster","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1755120219/assets/pas/images/58b844d9-2128-456b-8d3e-bd101e8724d3/essence-kremno-sencilo-za-veke-03-oyster","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1751899598/assets/pas/images/61c0856d-237c-479d-8ce0-fdd5dd26e3bd/essence-kremno-sencilo-za-veke-03-oyster",4.81,https://www.dm.si/p/d/3091042/essence-kremno-sencilo-za-veke-03-oyster
8011607383580,dm,"Tekoče senčilo za veke Vamp! – 09 Cream, 4 ml",PUPA,9.95,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747522531/assets/pas/images/de1c4a6d-95fd-4bae-99cf-191972ab446f/pupa-tekoce-sencilo-za-veke-vamp-09-cream","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747522529/assets/pas/images/5ccdc071-e864-4553-a92c-b8c02490c3c2/pupa-tekoce-sencilo-za-veke-vamp-09-cream",,,https://www.dm.si/p/d/2291083/pupa-tekoce-sencilo-za-veke-vamp-09-cream
5903416087243,dm,"Večnamenska paleta za konturiranje 4 v 1 Celebrity Skin, 16 g",EVELINE COSMETICS,16.90,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1771457702/assets/pas/images/7d2df6e4-e342-43c8-87fb-f936c4d6b206/eveline-cosmetics-vecnamenska-paleta-za-konturiranje-4-v-1-celebrity-skin",,,,https://www.dm.si/p/d/3111286/eveline-cosmetics-vecnamenska-paleta-za-konturiranje-4-v-1-celebrity-skin
4059729541734,dm,"Kremno senčilo za veke, 04 Cocoa, 5 g",essence,3.70,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1755118450/assets/pas/images/1b3967ff-60aa-4445-b428-82b07dc67307/essence-kremno-sencilo-za-veke-04-cocoa","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1755118456/assets/pas/images/2c5b804a-64e6-4a26-a6e7-7303032b8af1/essence-kremno-sencilo-za-veke-04-cocoa","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1751899433/assets/pas/images/f1ae0a37-0387-4007-97f6-b29961d466ed/essence-kremno-sencilo-za-veke-04-cocoa",4.94,https://www.dm.si/p/d/3091043/essence-kremno-sencilo-za-veke-04-cocoa
4059729541741,dm,"Kremno senčilo za veke, 02 Pearl, 5 g",essence,3.70,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1756818344/assets/pas/images/f982b2eb-4b72-4174-95cc-f6b593db9dd4/essence-kremno-sencilo-za-veke-02-pearl","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1761139450/assets/pas/images/a3c20ec7-f21b-4796-89ce-f9e30313f6b0/essence-kremno-sencilo-za-veke-02-pearl","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1761139481/assets/pas/images/2905a754-be5d-4329-8c11-48a03eafeb5e/essence-kremno-sencilo-za-veke-02-pearl",4.48,https://www.dm.si/p/d/3091041/essence-kremno-sencilo-za-veke-02-pearl
4066447531343,dm,"Senčilo za veke, 02 Nude Gold, 1,5 g",alverde NATURKOSMETIK,2.65,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1759098027/assets/pas/images/e069c39a-40fb-4143-80f1-cd90607f06de/alverde-naturkosmetik-sencilo-za-veke-02-nude-gold","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1759529892/assets/pas/images/01374852-19ec-43e5-bfb7-b9686a0321f7/alverde-naturkosmetik-sencilo-za-veke-02-nude-gold",,4.67,https://www.dm.si/p/d/1453302/alverde-naturkosmetik-sencilo-za-veke-02-nude-gold
4067796266405,dm,"Tekoče senčilo za oči 2 v 1 Dream Duo 010, 4,4 ml",trend !t up,3.45,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1770163522/assets/pas/images/35cfeb57-8cac-4a29-ba6f-9f75b5cc9f97/trend-t-up-tekoce-sencilo-za-oci-2-v-1-dream-duo-010","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1770163528/assets/pas/images/91108c44-abc9-4d63-80ba-c1a2a37dd0e8/trend-t-up-tekoce-sencilo-za-oci-2-v-1-dream-duo-010","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1770163515/assets/pas/images/e648cc5b-c228-4a39-98b9-61bcfc34205d/trend-t-up-tekoce-sencilo-za-oci-2-v-1-dream-duo-010",4.6,https://www.dm.si/p/d/3112639/trend-t-up-tekoce-sencilo-za-oci-2-v-1-dream-duo-010
4067796266634,dm,"Senčilo za veke in lica Luminous Touch - 010, 4,6 g",trend !t up,3.45,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1770163184/assets/pas/images/e85f46b3-e94a-420c-9402-e71dffcefa05/trend-t-up-sencilo-za-veke-in-lica-luminous-touch-010","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1770163178/assets/pas/images/487df096-ad21-4305-a130-b49dbab5f15b/trend-t-up-sencilo-za-veke-in-lica-luminous-touch-010","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1770163192/assets/pas/images/ffaddc55-581a-49c2-91a4-d8256a508094/trend-t-up-sencilo-za-veke-in-lica-luminous-touch-010",3.5,https://www.dm.si/p/d/3112642/trend-t-up-sencilo-za-veke-in-lica-luminous-touch-010
4059729514615,dm,"Kremno senčilo za oči Metallic Spark, 020 Diamond Dust, 4 g",CATRICE,2.99,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747470534/assets/pas/images/4a9cfd56-4cd8-4e86-b2a7-204ed73c2582/catrice-kremno-sencilo-za-oci-metallic-spark-020-diamond-dust","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747470540/assets/pas/images/5450a60e-034d-45dc-bdf0-aa1992f3988a/catrice-kremno-sencilo-za-oci-metallic-spark-020-diamond-dust","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747470538/assets/pas/images/1e94dfb9-ab9d-4d98-bd04-dd5d07575d54/catrice-kremno-sencilo-za-oci-metallic-spark-020-diamond-dust",3.52,https://www.dm.si/p/d/3039205/catrice-kremno-sencilo-za-oci-metallic-spark-020-diamond-dust
5903416058939,dm,"Paleta za konturiranje Wonder Match 01, 10,8 g",EVELINE COSMETICS,15.90,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1771457622/assets/pas/images/b1b6c5c8-70a3-488a-a445-2842109bfce8/eveline-cosmetics-paleta-za-konturiranje-wonder-match-01",,,,https://www.dm.si/p/d/2561553/eveline-cosmetics-paleta-za-konturiranje-wonder-match-01
3830068592226,dm,"Kremno senčilo za oči v stiku Raven, 1,8 g",INDY BEAUTY,21.95,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747426957/assets/pas/images/f5416da1-ada6-4460-ab0c-3af046bb2ca2/indy-beauty-kremno-sencilo-za-oci-v-stiku-raven","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747427117/assets/pas/images/1a70254f-e566-4447-887e-f3302a8e7e13/indy-beauty-kremno-sencilo-za-oci-v-stiku-raven","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747426962/assets/pas/images/34e1155c-121e-4381-b0ce-e70b698dd59b/indy-beauty-kremno-sencilo-za-oci-v-stiku-raven",,https://www.dm.si/p/d/3050100/indy-beauty-kremno-sencilo-za-oci-v-stiku-raven
4058172947674,dm,"Paleta senčil Rocky Rose, 4,8 g",trend !t up,4.95,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747456975/assets/pas/images/7519b9bb-a360-4426-ba65-e507c1e089bd/trend-t-up-paleta-sencil-rocky-rose","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747456974/assets/pas/images/afff8cfa-9f21-4d12-96ac-2e314e720743/trend-t-up-paleta-sencil-rocky-rose","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1747456941/assets/pas/images/89cac033-ac8f-44fe-aae6-25d7708fd4b1/trend-t-up-paleta-sencil-rocky-rose",4.18,https://www.dm.si/p/d/1606495/trend-t-up-paleta-sencil-rocky-rose
4067796068825,dm,"Senčilo za veke v stiku Cooling Aqua 020, 1,4 g",trend !t up,2.95,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1753431140/assets/pas/images/2968c623-53c2-4c57-8cda-b01e88891c5e/trend-t-up-sencilo-za-veke-v-stiku-cooling-aqua-020","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1753431136/assets/pas/images/41c3c1f1-a9b2-45dc-b9c9-d012093b8e35/trend-t-up-sencilo-za-veke-v-stiku-cooling-aqua-020","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1753431131/assets/pas/images/9c5758e6-851f-416a-a7a8-4394a83eaa97/trend-t-up-sencilo-za-veke-v-stiku-cooling-aqua-020",3.68,https://www.dm.si/p/d/3044104/trend-t-up-sencilo-za-veke-v-stiku-cooling-aqua-020
4059729583468,dm,"Senčilo za veke Mono Eyeshadow Pearly, 01 Golden Glow, 2 g",essence,2.10,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1773874911/assets/pas/images/8713f936-f84c-44f0-a69e-f49d8fdcac17/essence-sencilo-za-veke-mono-eyeshadow-pearly-01-golden-glow",,,4.67,https://www.dm.si/p/d/3116991/essence-sencilo-za-veke-mono-eyeshadow-pearly-01-golden-glow
4067796266467,dm,"Tekoče senčilo za oči 2 v 1 Dream Duo 020, 4,4 ml",trend !t up,3.45,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1770163593/assets/pas/images/358a037b-024f-4d60-bee9-3cbf5122015c/trend-t-up-tekoce-sencilo-za-oci-2-v-1-dream-duo-020","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1770163607/assets/pas/images/fcbfdc35-3a40-45ae-834a-5730db92f914/trend-t-up-tekoce-sencilo-za-oci-2-v-1-dream-duo-020","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1770163599/assets/pas/images/1f644637-0cb2-4807-8059-c9be6add54a8/trend-t-up-tekoce-sencilo-za-oci-2-v-1-dream-duo-020",3.0,https://www.dm.si/p/d/3112640/trend-t-up-tekoce-sencilo-za-oci-2-v-1-dream-duo-020
4059729541871,dm,"Kremno senčilo za veke, 01 Rose, 5 g",essence,3.70,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1755049848/assets/pas/images/ef7c16e1-f375-4690-b510-911db4c5a3e4/essence-kremno-sencilo-za-veke-01-rose","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1755049846/assets/pas/images/b93a83b1-5e73-4333-b992-6a5669cb4ebe/essence-kremno-sencilo-za-veke-01-rose","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1755049840/assets/pas/images/cddc80f1-d071-4f5e-aa48-8824d403b7d1/essence-kremno-sencilo-za-veke-01-rose",4.76,https://www.dm.si/p/d/3091040/essence-kremno-sencilo-za-veke-01-rose
4067796266535,dm,"Tekoče senčilo za oči 2 v 1 Dream Duo 030, 4,4 ml",trend !t up,3.45,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1770164435/assets/pas/images/9ce22119-3578-4d34-8e19-89d221fdc751/trend-t-up-tekoce-sencilo-za-oci-2-v-1-dream-duo-030","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1770164430/assets/pas/images/e7ba8ed8-3d23-4013-9439-58dd80ca5561/trend-t-up-tekoce-sencilo-za-oci-2-v-1-dream-duo-030","https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1770164439/assets/pas/images/fc214b20-6bf5-4c00-9e3b-0773d1dde7d8/trend-t-up-tekoce-sencilo-za-oci-2-v-1-dream-duo-030",5.0,https://www.dm.si/p/d/3112641/trend-t-up-tekoce-sencilo-za-oci-2-v-1-dream-duo-030
5903416074106,dm,"Senčilo za veke Wonder Match, 01 Base, 3 g",EVELINE COSMETICS,7.50,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1771457632/assets/pas/images/94b3cfd9-5673-409e-adb7-4d6b460e02ff/eveline-cosmetics-sencilo-za-veke-wonder-match-01-base",,,,https://www.dm.si/p/d/2977872/eveline-cosmetics-sencilo-za-veke-wonder-match-01-base
4059729583451,dm,"Senčilo za veke Mono Eyeshadow Matte, 03 Deep Ink, 2 g",essence,2.10,EUR,"https://products.dm-static.com/images/f_auto,q_auto,c_fit,h_320,w_320/v1773875433/assets/pas/images/b598048b-ffef-4bc8-99e6-5e2b39b6b005/essence-sencilo-za-veke-mono-eyeshadow-matte-03-deep-ink",,,5.0,https://www.dm.si/p/d/3117001/essence-sencilo-za-veke-mono-eyeshadow-matte-03-deep-ink
